ReefID,LABEL_ID,GBRMPAFeatureName,LAT,LON,GBRMP,Within250kmOfPort,Shallow,ShallowestDepth
1118,14-141,U/N Reef,-14.7072,145.5388,1,1,1,-2.180999994
1119,14-142,U/N Reef,-14.7313,145.5825,1,1,1,-1.514000058
1120,14-143,North Direction Reef,-14.7458,145.5106,1,1,1,0.021
1121,14-144,Kedge Reef,-14.7826,145.5309,1,1,1,-6.18200016
1122,14-145,U/N Reef,-14.7899,145.5866,1,1,1,-1.09800005
1123,13-055,Peter Reef,-13.3326,143.7807,1,0,1,-0.934000015
1124,13-056,Sand Bank No 8 Reef,-13.3672,143.9621,1,0,1,-0.196999997
1125,13-057a,Sharland Reefs (No 1),-13.3688,143.5992,1,0,1,-1.164999962
1126,13-057b,Sharland Reefs (No 2),-13.3826,143.5974,1,0,1,-0.940999985
1127,13-058a,U/N Reef,-13.4009,143.6101,1,0,1,-1.399999976
1128,13-058b,U/N Reef,-13.4086,143.6049,1,0,1,-1.652999997
1129,13-133,Tydeman Reef,-13.9837,144.5199,1,0,1,-0.029999999
1130,13-134,U/N Reef,-13.5172,143.6184,1,0,NA,NA
1131,13-135,U/N Reef,-13.5428,143.6043,1,0,1,-1.269999981
1132,13-136,U/N Reef,-13.4605,143.806,1,0,1,-1.243999958
1133,13-137,U/N Reef,-13.6572,144.1102,1,0,0,-11.57199955
1134,14-001,U/N Reef,-14.0301,143.6865,1,0,1,0.986999989
1135,14-002,Beabey Patches,-14.0135,143.8222,1,0,0,-10.37899971
1136,14-077a,U/N Reef,-14.3136,145.2371,1,0,1,-0.308999985
1137,14-077b,U/N Reef,-14.3291,145.2351,1,0,0,-16.02499962
1138,14-078,U/N Reef,-14.3432,145.2775,1,0,1,-0.912
1139,14-079,Jewell Reef,-14.3798,145.3513,1,0,1,-0.152999997
1140,14-080,U/N Reef,-14.3643,145.0181,1,0,1,-0.828999996
1141,14-081,U/N Reef,-14.3986,145.035,1,0,1,-1.184000015
1142,14-146,Ribbon No 10 Reef,-14.8272,145.6981,1,1,1,0.01
1143,14-147a,South Direction Reef (North),-14.8243,145.5237,1,1,1,-0.005
1144,14-147b,South Direction Reef (South),-14.8117,145.5207,1,1,1,-1.233999968
1145,13-059,Ellis Reef,-13.3801,143.7054,1,0,1,0.011
1146,13-060,Blanchard Reef,-13.4168,143.7507,1,0,1,-0.319999993
1147,13-061a,U/N Reef,-13.3989,143.9745,1,0,1,-0.614000022
1148,13-061b,U/N Reef,-13.4246,143.9759,1,0,1,-0.911000013
1149,14-003,Grub Reef,-14.0066,143.9833,1,0,1,0.953000009
1150,14-004,Keast Shoal,-14.0523,143.9353,1,0,NA,NA
1151,14-005,Cameron Shoal,-14.0595,143.9319,1,0,0,-12.74400043
1152,14-006,Fahey Reef,-14.0637,143.8589,1,0,1,0.238999993
1153,14-007,Taiwan Shoal,-14.0664,143.9259,1,0,NA,NA
1154,14-082,Crescent Reef,-14.4157,145.0893,1,0,1,-0.601999998
1155,14-083,Parke Reef,-14.4195,145.3225,1,0,1,-0.824999988
1156,14-084,U/N Reef,-14.4436,145.044,1,0,1,-0.193000004
1157,14-085,Hilder Reef,-14.445,145.4104,1,0,1,-0.786000013
1158,14-149,U/N Reef,-14.8425,145.6183,1,1,1,-1.062000036
1159,14-150,U/N Reef,-14.8831,145.5573,1,1,1,-0.990999997
1160,14-151,No 10 Patches (No 1),-14.9199,145.6904,1,1,1,-0.469000012
1161,14-152,No 10 Patches (No 2),-14.9319,145.6817,1,1,1,-0.218999997
1162,14-153a,No 10 Patches (No 3),-14.9504,145.6902,1,1,1,-0.013
1163,14-153b,No 10 Patches (No 4),-14.9685,145.6862,1,1,1,-4.255000114
1164,13-061c,Sand Bank No 7 Reef,-13.4398,143.9785,1,0,1,-0.048
1165,13-062,Roskruge Reef,-13.4161,143.6287,1,0,1,-2.982000113
1166,13-063,U/N Reef,-13.4231,143.8153,1,0,1,-0.852999985
1167,13-064,North Khandalla Shoal,-13.4287,143.6889,1,0,1,-8.894000053
1168,13-065,Drake Shoal,-13.4343,143.7061,1,0,1,-7.721000195
1169,13-066,South Khandalla Shoal,-13.4368,143.6916,1,0,0,-10.02099991
1170,13-068,Quake Reef,-13.4524,143.6511,1,0,1,-1.220999956
1171,13-069,Bell Bank (North),-13.4538,143.6254,1,0,1,-0.569999993
1172,13-070,Bell Bank (South),-13.4668,143.6214,1,0,1,-1.419999957
1173,13-071,Heath Reef,-13.4752,143.6811,1,0,1,-0.014
1174,14-008,Eden Reef,-14.0778,143.9139,1,0,1,0.95599997
1175,14-009,Clark Shoal,-14.1294,143.9368,1,0,NA,NA
1176,14-010,U/N Reef,-14.141,143.7025,1,0,1,1.085000038
1177,14-011,Olive Patch,-14.1786,143.9331,1,0,NA,NA
1178,14-012,Cliff Islands Reef (West),-14.2207,143.7739,1,0,1,0.898999989
1179,14-013,Cliff Islands Reef (East),-14.2258,143.7922,1,0,1,1.014999986
1180,14-014,U/N Reef,-14.2551,143.7309,1,0,1,1.080000043
1181,14-015,June Reef,-14.2887,143.7797,1,0,1,-1.144999981
1182,14-086,Hicks Reef,-14.4526,145.4821,1,0,1,-0.002
1183,14-087,Snake Reef,-14.4731,145.0253,1,0,1,-0.493999988
1184,14-088,Waining Reef,-14.4562,145.2222,1,0,1,-0.842999995
1185,14-089,Day Reef,-14.4967,145.5368,1,0,1,-0.015
1186,14-154,Ribbon No 9 Reef,-14.9929,145.7033,1,1,1,-0.002
1187,14-159a,U/N Reef,-14.1232,144.7037,1,0,NA,NA
1188,14-159b,U/N Reef,-14.1343,144.6998,1,0,0,-10.27999973
1189,14-160,U/N Reef,-14.1937,144.8594,1,0,0,-12.74400043
1190,14-161,U/N Reef,-14.0192,143.9296,1,0,NA,NA
1191,14-162,U/N Reef,-14.5568,144.711,1,0,NA,NA
1192,14-163,U/N Reef,-14.9086,145.4541,1,1,1,-2.983999968
1193,15-001,Ada Bank,-15.0038,145.4642,1,1,NA,NA
1194,13-072,Morris Island Reef,-13.4863,143.7382,1,0,1,0.064000003
1195,13-073,U/N Reef,-13.467,143.9958,1,0,0,-14.52700043
1196,13-074,U/N Reef,-13.4779,144.0525,1,0,1,-0.563000023
1197,13-075,MacDonald Reef,-13.5425,143.6553,1,0,NA,NA
1198,14-016,Corbett Reef,-13.9792,144.1161,1,0,1,0.635999978
1199,14-017,Clack Reef,-14.0678,144.2432,1,0,1,0.143000007
1200,14-018,King Island Reef,-14.0997,144.3213,1,0,1,0.059
1201,14-019,Aylen Patch,-14.1037,144.4849,1,0,NA,NA
1202,14-020,Oswald Shoal,-14.1073,144.4979,1,0,1,-5.986999989
1203,14-090,Howick Reef,-14.5042,144.9702,1,0,1,0.137999997
1204,14-091,Noble Reef,-14.5018,144.765,1,0,1,0.209999993
1205,15-002,Two Islands Reef,-15.0231,145.4416,1,1,1,0.033
1206,15-003,Low Wooded Reef,-15.0934,145.3794,1,1,1,0.001
1207,15-004a,Murray Reefs (No  1),-15.0955,145.2633,1,1,1,-1.809999943
1208,15-004b,Murray Reefs (No  2),-15.0947,145.2687,1,1,1,-1.378999949
1209,15-004c,Murray Reefs (No  3),-15.1008,145.2641,1,1,NA,NA
1210,13-076,Ogilvie Reef,-13.526,143.7908,1,0,1,-0.144999996
1211,13-077,U/N Reef,-13.5524,143.852,1,0,1,-0.48300001
1212,14-022,Wharton Reef,-14.1282,144.0023,1,0,1,0.633000016
1213,14-023,Atkinson Reef,-14.1213,144.3023,1,0,NA,NA
1214,14-024,Channel Rocks Reef,-14.1426,144.4841,1,0,1,-1.796000004
1215,14-025,Boulder Rock Reef,-14.1484,144.4852,1,0,1,-0.231000006
1216,14-026a,Stanley Island Reef (No 1),-14.1408,144.2461,1,0,1,0.256000012
1217,14-092,Newton Reef,-14.5056,144.9158,1,0,1,0.043000001
1218,14-093,Sand Reef,-14.5217,144.845,1,0,NA,NA
1219,14-094,Houghton Reef,-14.5241,144.9731,1,0,1,-0.055
1220,14-096,U/N Reef,-14.5395,144.856,1,0,1,-0.782000005
1221,14-097,Coquet Reef,-14.5399,144.9927,1,0,1,0.238000005
1222,15-005,Three Islands Reef,-15.115,145.4224,1,1,1,0.034000002
1223,15-006,Conical Rock Reef,-15.1384,145.3174,1,1,1,-0.096000001
1224,15-007,U/N Reef,-15.1559,145.2475,1,1,1,-0.93599999
1225,15-008,Beor Reef,-15.1589,145.2682,1,1,1,-0.746999979
1226,15-009,Forrester Reef,-15.1667,145.4961,1,1,1,-0.493000001
1227,15-011,Petty Patch,-15.2146,145.3425,1,1,NA,NA
1228,13-078,U/N Reef,-13.641,143.9217,1,0,1,-1.32099998
1229,13-079a,Noddy Reef (No 1),-13.6822,143.7922,1,0,1,0.048
1230,13-079b,Noddy Reef (No 2),-13.6243,143.8249,1,0,1,-1.136000037
1231,13-079c,Noddy Reef (No 3),-13.6067,143.9079,1,0,1,-0.801999986
1232,14-026b,Stanley Island Reef (No 2),-14.1514,144.2541,1,0,1,-0.068999998
1233,14-026c,Stanley Island Reef (No 3),-14.1635,144.2322,1,0,1,-0.022
1234,14-026d,Stanley Island Reef (No 4),-14.1745,144.2194,1,0,1,-0.240999997
1235,14-026e,Stanley Island Reef (No 5),-14.1618,144.2165,1,0,1,-0.239999995
